table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
orders-db,public,store_summary_view_new,VIEW,,,,,,NO,NO,
orders-db,public,x,VIEW,,,,,,NO,NO,
orders-db,public,view_1,VIEW,,,,,,NO,NO,
orders-db,public,test_store_overviews,BASE TABLE,,,,,,YES,NO,
orders-db,public,store_sales,VIEW,,,,,,NO,NO,
orders-db,public,storenewtypesalesview,VIEW,,,,,,NO,NO,
orders-db,public,question_4,VIEW,,,,,,NO,NO,
orders-db,public,storetypesalesview3new,VIEW,,,,,,NO,NO,
orders-db,public,store_summary_view1,VIEW,,,,,,NO,NO,
orders-db,public,stores_overview,VIEW,,,,,,NO,NO,
orders-db,public,test_store_overview,VIEW,,,,,,NO,NO,
orders-db,public,q4,VIEW,,,,,,NO,NO,
orders-db,public,store_types_summary,VIEW,,,,,,NO,NO,
orders-db,public,store_type_summary,VIEW,,,,,,NO,NO,
orders-db,public,sales_summary_1,VIEW,,,,,,NO,NO,
orders-db,public,sale_views_mj,VIEW,,,,,,NO,NO,
orders-db,public,storesummary,VIEW,,,,,,NO,NO,
orders-db,public,q_4,VIEW,,,,,,NO,NO,
orders-db,public,sales_view,VIEW,,,,,,NO,NO,
orders-db,public,mat_summary,VIEW,,,,,,NO,NO,
orders-db,public,store_summary_view,VIEW,,,,,,NO,NO,
orders-db,public,sales_summary_stores,VIEW,,,,,,NO,NO,
orders-db,public,dim_customer,BASE TABLE,,,,,,YES,NO,
orders-db,public,store_summary_view2,VIEW,,,,,,NO,NO,
orders-db,public,store_facts,VIEW,,,,,,NO,NO,
orders-db,public,view_2,VIEW,,,,,,NO,NO,
orders-db,public,country_region,BASE TABLE,,,,,,YES,NO,
orders-db,public,total_sales_sales,VIEW,,,,,,NO,NO,
orders-db,public,store_overview,VIEW,,,,,,NO,NO,
orders-db,public,new_stores_overview,VIEW,,,,,,NO,NO,
orders-db,public,my_store_overviews,BASE TABLE,,,,,,YES,NO,
orders-db,public,dim_date,BASE TABLE,,,,,,YES,NO,
orders-db,public,dim_product,BASE TABLE,,,,,,YES,NO,
orders-db,public,salestore1,VIEW,,,,,,NO,NO,
orders-db,public,total_sales,VIEW,,,,,,NO,NO,
orders-db,public,my_store_summary_view,VIEW,,,,,,NO,NO,
orders-db,public,forview,BASE TABLE,,,,,,YES,NO,
orders-db,public,store_type_sales_1,VIEW,,,,,,NO,NO,
orders-db,public,new_store_overview,BASE TABLE,,,,,,YES,NO,
orders-db,public,store_overviews,VIEW,,,,,,NO,NO,
orders-db,public,tiger_test,VIEW,,,,,,NO,NO,
orders-db,public,test_store_overviews_2,BASE TABLE,,,,,,YES,NO,
orders-db,public,storenewtypesalesview1,VIEW,,,,,,NO,NO,
orders-db,public,store_types,VIEW,,,,,,YES,NO,
orders-db,public,store_sales_summary,VIEW,,,,,,NO,NO,
orders-db,public,a_sales,VIEW,,,,,,NO,NO,
orders-db,public,sales_view_1,VIEW,,,,,,YES,NO,
orders-db,public,store_type_view,VIEW,,,,,,NO,NO,
orders-db,public,mysummary,VIEW,,,,,,NO,NO,
orders-db,public,performance_store,VIEW,,,,,,NO,NO,
orders-db,public,stores,VIEW,,,,,,YES,NO,
orders-db,public,new_store_summary_view,VIEW,,,,,,NO,NO,
orders-db,public,dim_store,BASE TABLE,,,,,,YES,NO,
orders-db,public,orders,BASE TABLE,,,,,,YES,NO,
orders-db,public,store_type_sales_2,VIEW,,,,,,NO,NO,
orders-db,public,my_store_overviewsnew,BASE TABLE,,,,,,YES,NO,
orders-db,public,store_type_sales_and_percent,VIEW,,,,,,NO,NO,
orders-db,public,stores_overviews,VIEW,,,,,,NO,NO,
orders-db,public,tiger_test_2,VIEW,,,,,,NO,NO,
orders-db,public,storetypesalesview2,VIEW,,,,,,NO,NO,
orders-db,public,salestore,VIEW,,,,,,NO,NO,
orders-db,public,mystore_summary_view,VIEW,,,,,,NO,NO,
orders-db,public,store_type,VIEW,,,,,,NO,NO,
orders-db,public,stores_by_type,VIEW,,,,,,NO,NO,
orders-db,public,summary_view,VIEW,,,,,,YES,NO,
orders-db,public,test,BASE TABLE,,,,,,YES,NO,
orders-db,public,q4_view,VIEW,,,,,,NO,NO,
orders-db,public,salesinfo,VIEW,,,,,,NO,NO,
orders-db,public,store_summary,VIEW,,,,,,NO,NO,
orders-db,public,my_store_overviews_2,BASE TABLE,,,,,,YES,NO,
orders-db,public,forquerying2,BASE TABLE,,,,,,YES,NO,
orders-db,public,storetypesalesview,VIEW,,,,,,NO,NO,
orders-db,public,storetypesalesview3,VIEW,,,,,,NO,NO,
orders-db,public,my_store_overview,VIEW,,,,,,NO,NO,
orders-db,public,Sale Store,VIEW,,,,,,NO,NO,
orders-db,public,my_stores_overviews,VIEW,,,,,,NO,NO,
orders-db,public,store_type_sales_mihai,VIEW,,,,,,NO,NO,
orders-db,public,sales_summary,VIEW,,,,,,NO,NO,
orders-db,public,sales_views_1,VIEW,,,,,,NO,NO,
orders-db,public,test_view,VIEW,,,,,,NO,NO,
orders-db,public,store_type_sales,VIEW,,,,,,NO,NO,
orders-db,public,question_4_mj,VIEW,,,,,,NO,NO,
orders-db,public,sales_views,VIEW,,,,,,NO,NO,
orders-db,public,summary,VIEW,,,,,,NO,NO,
orders-db,public,store_sales_view,VIEW,,,,,,NO,NO,
orders-db,public,stores_performance,VIEW,,,,,,YES,NO,
orders-db,public,salesinfo2,VIEW,,,,,,NO,NO,
