date,day,day_of_week,month_name,quarter,year,start_of_year,start_of_monthj,start_of_quarter,start_of_week
00:00.0,1,Friday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Saturday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Sunday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Monday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Tuesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Wednesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Thursday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Friday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Saturday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Sunday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Monday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Tuesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Wednesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Thursday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Friday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Saturday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Sunday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Monday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Tuesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Wednesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Thursday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Friday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Saturday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Sunday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Monday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Tuesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Wednesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Thursday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,29,Friday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,30,Saturday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,31,Sunday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Monday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Tuesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Wednesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Thursday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Friday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Saturday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Sunday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Monday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Tuesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Wednesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Thursday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Friday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Saturday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Sunday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Monday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Tuesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Wednesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Thursday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Friday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Saturday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Sunday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Monday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Tuesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Wednesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Thursday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Friday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Saturday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Sunday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Monday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Tuesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Wednesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Thursday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Friday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Saturday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Sunday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Monday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Tuesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Wednesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Thursday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Friday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Saturday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Sunday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Monday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Tuesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Wednesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Thursday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Friday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Saturday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Sunday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Monday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
