description,sale_price,weight,category,EAN,date_added,product_uuid,availability,product_code,cost_price,country_code,country_name
Maine Bathroom Storage Unit - White,18,3.4kg,homeware,26776112990,00:00.0,d3264308-02b2-4e40-9bb6-27d2d24dcaf9,Still_avaliable,P3-5029437M,,,
Maine 1 Drawer Unit - White,30,4.5kg,homeware,8.08292E+12,00:00.0,c6a42a21-8d7b-442c-a7a0-b129c6a990db,Still_avaliable,H5-5726853B,,,
Maine White Tall Boy,60,12.1kg,homeware,7.67575E+12,00:00.0,486ff92e-8142-4f13-80cf-2240f4b2df80,Still_avaliable,x5-7695212a,,,
Maine Under Sink Unit,40,9.4kg,homeware,4.76803E+12,00:00.0,9e9bca1f-75d0-4cc2-b26a-a2a4ee219bcb,Still_avaliable,c7-8841787R,,,
Maine Under Sink Unit - Grey,35,9.4kg,homeware,4.68972E+12,00:00.0,77106065-f710-4019-98fd-d9aeefd3218c,Still_avaliable,O7-2015689M,,,
Maine Bathroom Double Door Cabinet & Shelf - White,35,6.1kg,homeware,9.62423E+12,00:00.0,e5eb53d5-a4d3-47f0-afaf-4c8886ad195a,Still_avaliable,d7-7423493R,,,
Maine Bathroom Single Door Mirror Cabinet,20,4.2kg,homeware,9.45699E+12,00:00.0,d86456a2-26c5-4fc0-af32-358b4dc41dbc,Still_avaliable,q6-6153507K,,,
Maine 3 Tier Corner Shelving - White,15,2.4kg,homeware,7.36449E+12,00:00.0,73816825-016e-4e9a-be1e-03db9d07bd05,Still_avaliable,p8-5553404H,,,
Bjorn Undersink Cabinet,40,12kg,homeware,9.27624E+12,00:00.0,9fa68e8a-36b9-4a55-b421-b3bae6fdba66,Still_avaliable,f7-4424861H,,,
Bjorn Bathroom Tallboy,60,21kg,homeware,5.84097E+12,00:00.0,c7c56ec8-fde6-4590-a626-9913410e5491,Still_avaliable,k9-3755441k,,,
Norsk High Gloss Under Sink Cabinet,45,12.8kg,homeware,7.55316E+12,00:00.0,c5037c6d-2c57-4569-9933-70e4de56f3fa,Still_avaliable,V4-5991439h,,,
Norsk Undersink Unit - Grey,30,13kg,homeware,9.52001E+12,00:00.0,0aacda94-c84d-4e76-8582-4f19e51d6d99,Still_avaliable,s4-0069418j,,,
Maine Ladder Towel Rack,12,2.1kg,homeware,9.94485E+11,00:00.0,1af53a3a-5874-4afa-bd07-7653619aa9d1,Still_avaliable,Y4-6952691s,,,
Norsk High Gloss Bathroom Mirror Cabinet,32,6kg,homeware,3.42061E+12,00:00.0,a9662911-ec33-4be5-b768-7bd482033e1e,Still_avaliable,m8-9847805j,,,
Maine 3 Tier Corner Shelving - Grey,12,2.4kg,homeware,9.24348E+12,00:00.0,dc82ab9c-fc51-475a-aadd-5d29ca59b9f4,Still_avaliable,u7-2558837t,,,
Maine Bathroom Storage Unit - Grey,12,3.4kg,homeware,5.49924E+12,00:00.0,7395495d-93e0-4e43-a62c-91d6da8324bc,Still_avaliable,V0-4395610M,,,
Maine Bathroom Storage Unit - White,18,3.4kg,homeware,3.76561E+12,00:00.0,07b96e6c-8c9c-4410-adb5-9f21e34232a4,Still_avaliable,f2-2191836g,,,
Maine 1 Drawer Unit - White,30,4.5kg,homeware,5.45609E+11,00:00.0,0b3a6e3e-ac1d-4783-b3ba-31157b357a01,Still_avaliable,T2-0707092z,,,
Maine White Tall Boy,60,12.1kg,homeware,7.12098E+12,00:00.0,e9a16169-9814-459f-ad3d-da97cf6812e8,Still_avaliable,f9-0218647s,,,
Maine Under Sink Unit,40,9.4kg,homeware,1.49933E+12,00:00.0,98a560df-c1a1-4496-943b-589bdcc03513,Still_avaliable,t7-5207682c,,,
Maine Under Sink Unit - Grey,35,9.4kg,homeware,4.05963E+12,00:00.0,0b65de89-b08d-46f6-b566-3319aff7132f,Still_avaliable,c2-5082898x,,,
Maine Bathroom Double Door Cabinet & Shelf - White,35,6.1kg,homeware,3.47498E+12,00:00.0,b7308888-628c-4292-a9a5-a4f0027510c3,Still_avaliable,F5-8031681r,,,
Maine Bathroom Single Door Mirror Cabinet,20,4.2kg,homeware,2.55929E+12,00:00.0,0787ce6c-d8c3-4706-81e6-50893a6e60c5,Still_avaliable,h1-5794018W,,,
Bjorn Undersink Cabinet,40,12kg,homeware,6.8355E+12,00:00.0,9d100a34-761e-4267-949b-b75f399df654,Still_avaliable,d8-595138P,,,
Bjorn Bathroom Tallboy,60,21kg,homeware,8.75999E+12,00:00.0,fd9fa1cf-b4d6-479f-b1b5-5e4c758b4616,Still_avaliable,U7-0578654E,,,
Norsk High Gloss Under Sink Cabinet,45,12.8kg,homeware,3.51119E+12,00:00.0,ba40f444-ef2d-4dc1-b7ff-201a5a246b0d,Still_avaliable,k1-8658038i,,,
Really Useful Nestable Storage Boxes 61L 3pk,55,8.2kg,homeware,8.09252E+12,00:00.0,12fb3747-1076-456c-9938-42d09c23a5b7,Still_avaliable,A7-9657733S,,,
Really Useful Nestable Storage Boxes 41L 3pk,55,7.8kg,homeware,5.95235E+12,00:00.0,3959587b-7ae3-44a8-ab76-bbb7db524c99,Still_avaliable,n4-7848835d,,,
Really Useful Nestable Storage Boxes 40L 3pk,46,5.7kg,homeware,7.45592E+12,00:00.0,27ba9270-6e0b-4a71-ba23-000cedf92c50,Still_avaliable,Q1-5185971f,,,
Really Useful Nestable Storage Boxes 23.5L 3pk,34,5kg,homeware,2.21993E+12,00:00.0,63e4e0dc-3d50-4314-8fd1-7ae953f33b86,Still_avaliable,r2-7003477Y,,,
Really Useful Nestable Storage Boxes 10.2L 3pk,22,2.4kg,homeware,5.91774E+12,00:00.0,366d9e29-cf5a-4cc6-ac8e-922d1a21c1e4,Still_avaliable,G0-014884S,,,
Really Useful Nestable Storage Boxes 5.5L 3pk,20,1.4kg,homeware,1.74864E+12,00:00.0,4d2fb2c0-6e16-4ff7-a505-ffe95fae061c,Still_avaliable,d7-5038198J,,,
Really Useful Nestable Storage Boxes 61L 3pk,55,8.2kg,homeware,4.88263E+12,00:00.0,06f69d11-7f70-44fd-9f58-5148eb85c07d,Still_avaliable,X1-7556553L,,,
Really Useful Nestable Storage Boxes 41L 3pk,55,7.8kg,homeware,4.72987E+12,00:00.0,5a3fbd68-fd37-4758-9965-cb49def159f6,Still_avaliable,u8-8403007a,,,
Really Useful Nestable Storage Boxes 23.5L 3pk,34,5kg,homeware,3.58866E+12,00:00.0,fcee5094-9990-4d5d-a4e1-33bc090aec8f,Still_avaliable,f4-7882862n,,,
Really Useful Nestable Storage Boxes 10.2L 3pk,22,2.4kg,homeware,6.03366E+12,00:00.0,2185f037-e0fb-4556-86f0-d36b0d9e0dd4,Still_avaliable,O3-290807l,,,
Really Useful Nestable Storage Boxes 5.5L 3pk,20,1.4kg,homeware,6.31803E+12,00:00.0,d95cba71-0601-4815-9e38-676807326962,Still_avaliable,f7-0131624S,,,
Geo Microplush Rug 60 x 110cm - Ochre,10,520g,homeware,6.18272E+12,00:00.0,eaeb210e-90aa-451e-bdf3-434d57ceb5ea,Still_avaliable,q3-6416614d,,,
Lexi Microplush Rug 110 x 160cm - Grey,20,1760g,homeware,8.26638E+12,00:00.0,51c7c4a5-33fe-4624-9243-8ad4056fcef6,Still_avaliable,e0-8956715V,,,
Chunky Knit Rug 100 x 150cm - Sage,45,3.75kg,homeware,9.93573E+12,00:00.0,d5a0d20d-aa5f-4114-a07e-c63f7876ad43,Still_avaliable,T1-5332245s,,,
Micro Plush Rug 110 x 160cm - Black,25,4.85kg,homeware,2.57176E+12,00:00.0,1cdb781c-4788-4d9f-b353-0e6c4cb00ee5,Still_avaliable,n7-4521408F,,,
Micro Plush Rug 110 x 160cm - Cream,20,1470g,homeware,2.71351E+12,00:00.0,b2d0f3ae-71da-4063-96b0-7ba69d879bb0,Still_avaliable,r8-8485364j,,,
Geo Microplush Rug 110 x 160cm - Grey,25,1470g,homeware,9.65224E+12,00:00.0,b69273a8-b514-407d-8020-7332601a4876,Still_avaliable,o6-4511022N,,,
Microplush Rug 110 x 160cm - Silver,25,1470g,homeware,5.16512E+12,00:00.0,9f9cfac5-e705-4ca3-89fa-b577e8b59666,Still_avaliable,u2-078922q,,,
Micro Plush Rug 110 x 160cm - Blush,19.99,1470g,homeware,3.38525E+12,00:00.0,81625f9f-92db-4ab4-8c67-239e7fe007c2,Still_avaliable,k4-1335782J,,,
Lokken 2 Cube Shelving Unit - Grey,12,5.6kg,homeware,7.70803E+12,00:00.0,f786330b-089c-4914-a42e-99aaca13d156,Still_avaliable,V8-2044905S,,,
Mobel Storage with Bookshelves,35,5.5kg,homeware,8.77546E+12,00:00.0,417b6e34-7073-4167-8dee-3b4f6517fba4,Still_avaliable,t8-236751K,,,
Lokken 4 Tier Ladder Shelf Unit,40,11.6kg,homeware,6.66596E+12,00:00.0,c728fd6c-2a1e-48aa-85aa-a2274a91024e,Still_avaliable,P5-6432556G,,,
Lokken Tall 4 Cube Storage Unit with 2 Baskets,25,11kg,homeware,4.61947E+12,00:00.0,2c9cd785-9ebb-41b4-9ab3-a6e1c42cc6a1,Still_avaliable,A8-5051604G,,,
Maine 3 Tier Corner Shelving - White,15,2.4kg,homeware,8.54595E+12,00:00.0,922bd6f6-5749-409f-bd62-533fd76224a5,Still_avaliable,a0-6895181T,,,
Detroit Sideboard - Black,85,28kg,homeware,6.6419E+12,00:00.0,72e6d5ff-e45f-4e58-905a-0049f9d07ce5,Still_avaliable,s5-147470X,,,
Michigan Ladder Shelf,45,10.7kg,homeware,4.09867E+12,00:00.0,f96e83ae-0905-4436-a8dd-254f85128cbf,Still_avaliable,u9-258730K,,,
Maine 3 Tier Wood Shelf,15,2.4kg,homeware,6.87721E+12,00:00.0,34b35921-5167-4bb6-958d-6951c81e888f,Still_avaliable,J2-0217471U,,,
Lokken 2 Cube Basket Storage - White,15,6kg,homeware,6.92824E+12,00:00.0,c386b9f6-b09e-4885-b55d-e3c3118f4851,Still_avaliable,I6-5226478m,,,
Norsk 5 Drawer Chest - White,70,22.5kg,homeware,2.56566E+12,00:00.0,1c4c6ba6-45ba-47c4-9cff-43e86d5a766b,Still_avaliable,o2-9923191p,,,
Lokken 9 Cube Shelving Unit & Baskets - Oak,50,19.8kg,homeware,6.46858E+12,00:00.0,c0244a03-79b7-4b72-bbea-d7a0679d738f,Still_avaliable,t7-7068720v,,,
Tromso 3 Tier Corner Shelf,18,18.7kg,homeware,9.33037E+12,00:00.0,f7436fda-3f52-45d3-b8b2-44e498a22b1a,Still_avaliable,s7-5179464Z,,,
Michigan Corner Ladder Shelf,45,8.5kg,homeware,8.69799E+12,00:00.0,6bf1ddf9-8bea-4221-ac1f-fa617a9ee6b4,Still_avaliable,T6-9314284Y,,,
